Micom IDU2 Data,Time Interval = 2 sec,Save Start Time:,"Wednesday, November 04 13:55:51, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Multi V S,Multi V S,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kW"
Distributor:,전문점,Version:,"22.4.0",LGMV:,8.1.9R,External:,"-"
Installer:,설치자,EEPROM:,"0.0.0",COMP:,"-",FAN:,"-"
Model:,모델,IDU NUM:,10,Connect:,IDU
Site:,현장,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,용량9,모드9,풍량9,EEV9,공기9,배관in9,배관out9,SC/SH9,추가정보9,통신9,CEN9,에러9,TGT9,TGT29,,,,,용량10,모드10,풍량10,EEV10,공기10,배관in10,배관out10,SC/SH10,추가정보10,통신10,CEN10,에러10,TGT10,TGT210,,,,
131,14:00:13,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
132,14:00:15,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
133,14:00:17,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
134,14:00:19,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
135,14:00:21,1,,,12,0,0,40,33.89,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
136,14:00:23,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
137,14:00:25,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
138,14:00:27,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
139,14:00:29,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
140,14:00:31,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
141,14:00:33,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
142,14:00:35,1,,,12,0,0,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
143,14:00:37,1,,,12,1,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
144,14:00:39,1,,,12,1,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
145,14:00:41,1,,,12,1,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
146,14:00:43,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
147,14:00:45,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
148,14:00:47,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
149,14:00:49,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
150,14:00:51,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
151,14:00:53,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
152,14:00:55,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
153,14:00:57,1,,,12,5,1,40,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
154,14:00:59,1,,,12,5,1,150,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
155,14:01:01,1,,,12,5,1,150,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
156,14:01:03,1,,,12,5,1,150,33.50,30.87,30.49,-0.38,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
157,14:01:05,1,,,12,5,1,150,33.50,29.34,30.49,1.15,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
158,14:01:07,1,,,12,5,1,150,33.50,29.34,30.49,1.15,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
159,14:01:09,1,,,12,5,1,150,33.50,24.23,30.49,6.26,,0,06,0,0,1,,,,,,-1,-1,,,,,,,,,,,,,,,
