CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
43,1.6,3.6,1.7,0.4,3.5,3.8,7.2,5.8,2,6.2,2.6,2.4,8.1,5.8,0.5,1.7,2.9,5.8,1.1,4.5,83,83,82,83,83,81,83,83,83,83,83,83,83,83,163,82,83,83,163,83
44,2.8,4.7,1.6,1.2,3,3.8,7.8,5.4,2.3,5.9,2.9,2.2,9.6,6.1,0.4,1.7,3.8,8.2,1.8,5.1,86,86,86,4,86,86,86,86,86,86,86,86,86,86,170,85,87,87,87,86
45,3,4.6,1.6,1.1,3.3,2.7,7.4,4.3,2.4,4.9,2.4,1.9,8.5,7,0.4,1.5,3.8,11.8,2.4,3.8,91,91,91,91,91,90,90,90,90,90,90,90,90,90,270,91,90,91,91,89
46,2.6,3.9,1.5,0.6,2.9,1.4,6,3,2.1,3.4,1.5,1.3,5.2,6.5,0.3,1.4,3.4,12.5,2.3,2.3,96,94,96,96,94,94,94,94,94,94,94,94,94,94,281,94,94,94,94,94
47,3,4.3,1.7,0.6,2.5,1.3,4.4,2.2,1.8,2.4,1.5,1,4.3,5.7,0.3,1.3,2.1,10,2.1,1.7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
48,2.9,4.2,1.9,0.6,1.9,1.3,3.4,1.8,1.3,1.8,1.2,0.8,3.3,4.3,0.3,1.1,2.8,5.8,1.7,1.7,103,103,103,103,103,103,103,103,102,103,102,103,103,103,103,103,208,102,103,103
49,2.7,3.8,1.6,0.5,1.6,1.1,3.2,1.5,1.1,1.7,1.1,0.8,3,3.7,0.3,0.9,2.8,4.2,1.6,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
50,2.7,4,1.7,0.6,1.7,1,3.1,1.5,1.1,1.8,1.1,0.8,2.9,3.5,0.4,0.9,2.3,4,1.5,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
51,2.7,4.1,1.8,0.6,1.9,1,3,1.6,1.1,1.9,1,0.7,2.9,3.4,0.3,0.9,2.2,4.1,1.5,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
52,2.8,4.3,1.9,0.6,1.5,1.1,3,1.5,1.2,1.9,1,0.7,2.8,3.3,0.3,0.8,2,4.2,1.5,1.7,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
53,2.9,4.3,1.8,0.6,1.5,1.2,3,1.6,1.1,1.9,0.9,0.9,2.6,3.2,0.3,0.8,2,4.2,1.5,1.6,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
54,2.8,4.2,1.7,0.6,1.5,1.4,2.9,1.7,1.1,2,1,0.9,2.6,3.2,0.3,1,2,4.1,1.4,1.7,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
55,2.8,4.2,1.7,0.6,1.6,1.7,2.8,1.8,1.2,2,1.2,0.8,2.6,3.2,0.3,0.8,1.9,3.9,1.6,2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,420,105,210,105,105,105
56,2.7,4.2,1.7,0.5,1.5,1.6,2.8,1.8,1.2,2.2,1.2,0.8,2.5,3.2,0.3,0.9,1.8,3.8,1.4,2.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
57,2.8,4.3,1.8,0.5,1.6,1.7,2.8,1.7,1.2,2.1,1.2,0.8,2.8,3.1,0.3,0.8,1.8,4,1.4,2.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,421,105,210,105,105,105
58,2.8,4.3,1.8,0.6,1.5,1.6,2.7,1.6,1.2,2.3,1.2,0.8,2.6,3.2,0.3,0.8,1.6,4.2,1.4,2.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
59,2.8,4.3,1.9,0.6,1.6,1.6,2.7,1.7,1.2,2,1.1,0.8,2.6,3.1,0.3,0.8,1.7,4.2,1.4,2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,420,105,210,105,105,105
