CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
45,2.9,4.2,1.7,0.6,1.9,0.7,3.1,1.2,1.1,1.4,0.8,0.6,3,3.2,0.3,0.8,2.6,5.8,1.3,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
46,2.8,4.2,1.7,0.6,1.8,0.8,3,1.4,1.2,1.5,0.8,0.5,2.9,3.2,0.3,0.8,2.7,5.9,1.3,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
47,2.9,4.3,1.7,0.6,1.9,0.7,3.1,1.3,1.2,1.4,0.9,0.6,2.9,3.3,0.3,0.8,2.5,5.9,1.3,1.5,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
48,2.9,4.4,1.8,0.6,1.9,0.8,3,1.4,1.3,1.5,1.1,0.8,2.8,3.3,0.3,0.9,2.4,5.6,1.3,1.7,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
49,2.9,4.3,1.9,0.6,1.7,0.7,2.9,1.3,1.3,1.6,0.8,0.7,2.8,3.3,0.3,0.9,2.1,5.5,1.4,1.5,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
50,2.8,4.5,1.9,0.6,1.8,0.9,3,1.3,1.2,1.7,0.9,0.6,2.8,3.3,0.3,0.8,2,5.8,1.3,1.4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
51,2.9,4.5,1.8,0.6,1.8,0.9,3,1.2,1.3,1.6,0.9,0.8,2.7,3.2,0.3,0.8,2.1,5.7,1.4,1.5,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
52,2.8,4.4,1.9,0.6,1.9,0.7,2.9,1.2,1.4,1.4,0.9,0.6,2.7,3.3,0.3,0.8,1.9,5.6,1.3,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
53,2.8,4.4,1.9,0.6,1.8,0.6,2.9,1.3,1.4,1.4,0.8,0.6,2.8,3.3,0.3,0.8,2,5.6,1.3,1.6,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
54,2.9,4.5,1.9,0.6,1.9,0.7,2.8,1.2,1.4,1.5,0.8,0.7,2.9,3.3,0.3,1,1.9,5.7,1.4,1.4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
55,2.8,4.4,1.9,0.6,1.8,0.7,2.9,1.2,1.1,1.6,0.8,0.8,2.9,3.2,0.4,0.8,1.9,5.9,1.4,1.4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
56,2.9,4.4,2,0.6,1.9,0.6,2.9,1.4,1.4,1.5,0.8,0.6,2.9,3.3,0.3,0.8,2,5.8,1.4,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
57,2.8,4.4,1.9,0.6,1.8,0.7,2.9,1.2,1.3,1.5,0.8,0.6,2.9,3.3,0.3,0.8,2.1,5.6,1.4,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
58,2.9,4.4,2,0.6,1.9,0.7,2.9,1.3,1.4,1.4,0.8,0.6,3,3.3,0.3,0.8,2.1,5.5,1.4,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
59,2.9,4.4,1.9,0.6,1.9,0.7,3,1.3,1.2,1.5,0.9,0.6,2.9,3.3,0.3,0.9,2.2,5.7,1.4,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
60,2.8,4.4,1.9,0.6,1.8,0.7,3,1.4,1.2,1.4,0.8,0.6,3,3.3,0.3,0.8,2.2,5.5,1.5,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
61,2.8,4.3,1.9,0.6,2,0.7,3,1.3,1.2,1.5,0.9,0.6,2.9,3.3,0.3,0.8,2.3,5.6,1.4,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
62,2.9,4.2,1.9,0.6,1.8,0.7,2.9,1.3,1.2,1.5,0.8,0.6,2.9,3.2,0.3,0.8,2.3,5.3,1.4,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
63,2.9,4.4,1.9,0.6,1.9,0.7,2.9,1.3,1.2,1.5,0.8,0.6,2.9,3.2,0.3,0.7,2.2,5.2,1.3,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
64,2.8,4.3,1.9,0.6,1.8,0.8,2.9,1.2,1.2,1.7,0.8,0.6,2.9,3.2,0.3,0.8,2.2,5.2,1.4,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
65,2.9,4.3,1.8,0.6,2,0.8,2.9,1.3,1.2,1.4,0.8,0.5,2.8,3.1,0.3,0.7,2.2,5.2,1.4,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
66,2.8,4.2,1.9,0.6,1.9,0.7,2.9,1.3,1.3,1.4,0.8,0.6,2.9,3.1,0.3,0.8,2.4,5.3,1.4,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
67,2.9,4.2,1.9,0.6,2,0.7,3,1.3,1.2,1.4,0.8,0.7,2.8,3.1,0.3,0.8,2.3,5.2,1.4,1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
68,2.9,4.2,1.8,0.6,2.1,0.7,2.9,1.2,1.2,1.3,0.8,0.6,2.7,3.2,0.3,0.8,2.4,5.4,1.4,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
69,2.9,4.1,1.9,0.6,1.8,0.8,2.9,1.2,1.3,1.5,0.8,0.6,2.7,3.2,0.3,0.8,2.3,5.3,1.3,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
70,2.9,4.1,1.9,0.6,1.7,0.8,2.9,1.4,1.1,1.5,0.8,0.6,2.7,3.2,0.3,0.8,2.2,5.4,1.4,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
71,2.9,4.3,1.9,0.6,1.8,0.8,2.9,1.2,1.2,1.5,0.8,0.5,2.7,3.2,0.3,1,2.2,5.3,1.3,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
72,2.8,4.1,1.7,0.6,1.8,0.7,2.9,1.2,1.3,1.4,0.8,0.6,2.7,3.2,0.3,0.9,2.1,5.2,1.4,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
73,2.8,4.3,1.8,0.6,2.2,0.8,2.9,1.3,1.2,1.4,0.8,0.6,2.6,3.1,0.4,0.9,2,5.1,1.3,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
