CH Name,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R,S_정면,S_측면,S_2R,S_5R,S_6R,D_정면,D_측면,D_2R,D_3R,D_6R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
174,1.0,1.9,1.9,1.9,1.5,0.9,1.1,1.1,1.7,3.2,41,83,41,83,41,207,60,41,41,41
175,1.0,1.8,1.7,1.9,1.3,0.9,1.0,1.1,1.6,3.2,41,83,41,83,41,207,60,41,41,41
176,1.1,1.9,2.0,2.1,1.5,0.9,1.0,1.0,1.6,3.2,41,83,41,83,41,207,60,41,41,41
177,1.0,2.0,1.9,2.0,1.5,1.0,1.0,1.1,1.7,3.3,41,83,41,83,41,207,60,41,41,41
178,1.0,1.6,1.8,2.0,1.5,1.0,1.1,1.1,1.6,3.4,41,83,41,83,41,207,60,41,41,41
179,1.0,1.7,1.6,1.9,1.4,0.9,1.0,1.0,1.7,3.2,41,83,41,83,41,207,60,41,41,41
180,1.1,1.8,1.8,2.0,1.4,0.8,1.1,1.1,1.6,3.3,41,83,41,83,41,207,60,41,41,41
181,1.0,1.7,1.7,2.0,1.4,0.9,1.1,1.0,1.7,3.2,41,83,41,83,41,207,60,41,41,41
182,1.1,1.8,1.7,2.1,1.4,1.0,1.1,1.1,1.6,3.3,41,83,41,83,41,207,60,41,41,41
183,1.2,1.8,1.7,2.1,1.3,0.9,1.0,1.1,1.7,3.2,41,83,41,83,41,207,60,41,41,41
184,1.0,1.8,1.8,2.1,1.4,0.9,1.1,1.1,1.7,3.2,41,83,41,83,41,207,60,41,41,41
185,1.1,1.9,1.9,2.1,1.3,0.9,1.0,1.1,1.7,3.1,41,83,41,83,41,207,60,41,41,41
186,1.0,1.9,1.8,2.0,1.4,1.0,1.0,1.1,1.6,3.3,42,42,42,42,42,42,60,42,42,42
187,1.0,1.7,1.7,1.8,1.3,0.9,0.8,0.9,1.3,2.9,43,43,43,43,43,43,60,43,43,43
188,1.0,1.6,1.7,1.4,1.4,0.8,0.9,0.8,1.0,2.4,44,44,44,44,44,44,60,44,44,44
189,1.1,1.5,1.9,1.4,1.5,0.9,1.0,0.7,1.0,2.3,45,45,45,45,45,45,60,45,45,45
190,1.3,1.8,2.3,1.5,1.7,0.8,1.0,0.7,1.1,2.1,46,46,46,46,46,46,60,120,46,46
191,1.3,1.5,2.3,1.4,1.8,1.0,1.2,0.7,0.9,2.0,47,47,47,47,47,47,60,120,120,47
192,1.1,1.6,2.1,1.4,1.5,1.0,1.3,0.7,1.0,2.1,48,48,48,48,48,48,60,120,120,48
193,1.3,1.9,2.4,1.4,1.6,1.2,1.3,0.7,1.0,2.0,49,49,49,49,49,195,60,120,120,49
194,1.2,2.1,2.2,1.4,1.4,1.2,1.4,0.7,0.9,1.7,50,50,50,50,50,199,60,120,120,120
195,0.7,1.4,1.6,1.3,1.1,1.2,1.8,0.6,0.9,1.4,51,51,51,51,51,203,203,120,120,120
196,0.8,1.6,1.7,1.4,1.0,1.4,1.7,0.7,1.0,1.6,52,103,52,103,52,207,206,103,120,120
197,0.8,1.7,2.0,1.5,1.0,1.3,1.6,0.9,0.9,1.6,53,105,53,105,53,210,105,105,120,120
198,0.9,1.7,1.7,1.3,0.9,1.2,1.5,0.9,0.8,1.5,53,107,53,107,53,213,107,107,120,120
199,0.9,1.9,1.8,1.6,0.9,1.1,1.5,0.9,1.0,1.5,53,107,53,53,53,213,107,107,120,120
200,0.8,1.7,1.7,1.4,0.9,1.1,1.5,0.9,0.8,1.5,53,107,53,53,53,213,107,107,120,120
201,0.8,1.7,1.5,1.5,0.9,1.2,1.6,0.9,0.9,1.5,53,107,53,53,53,213,107,107,120,120
