Micom ODU1 Data,Time Interval = 2 sec,Save Start Time:,"Thursday, October 08 11:08:52, 2020",,,,,NOTE:파일저장중 생성된 공란은 모델확장을 위한 영역입니다. 분석시 불필요할 경우 숨기기 기능을 이용해 주시기 바랍니다.
System Info:,Single&Multi,Pressure,R410A,1Unit,Default Unit:,"C , kPa , m3/h , kBtu/h",User's Unit:,"C , kPa , m3/h , kBtu/h"
Distributor:,PUW1303T9FR,Version:,"-",LGMV:,8.3.5R,External:,"-"
Installer:,설치자,EEPROM:,"0.20(0.14)",COMP:,"-",FAN:,"-"
Model:,PUW1303T9FR,IDU NUM:,1,Connect:,ODU
Site:,장배관,Hrunit NUM:,0,AWHP:,0,DXC:,0,FAU:,0,GHU:,0,WHU:,0,CASCADE:,0,SHOWCASE:,0,
siter,time,운전모드,Error,ErrorUnit,목표고압,목표저압,INV1토출목표,,현재고압,현재저압,COMP기준,,압축비,설정온도차,,,PC CTRL,운전상태 유지,4WAY,HOT GAS,SUMP HEAT,Cooling Fan,오일분리기,POWERRELAY,PFC,PFC CTRL,COP,DEFROSTING,OIL REFUREL,OIL RETURN,FAN1 H,FAN1 L,FAN2 H,FAN2 L,,,INV 목표,INV 현재,FAN 목표,FAN 현재,FAN2 목표,FAN2 현재,Main EEV,COMP운전,Sub EEV,VI EEV1,,,,,공기온도,흡입온도,응축온도,증발온도,INV 토출온도,열교환기온도,열교환기출구,Comp Heatsink,INV토출과열도,IHEX 입구,IHEX 출구,,,,,,,,,,
48,11:10:26,1,,,0,762,0,,1995,1289,0,,1.51,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,58,0,0,,,,,32.3,220.0,34.5,19.1,39.0,34.1,220.0,38.00,4.5,220.0,220.0,,,,,,,,,,
49,11:10:28,1,,,0,763,0,,2017,1202,0,,1.63,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,620,620,0,0,0,58,0,0,,,,,32.7,220.0,35.1,16.7,39.0,34.5,220.0,37.00,3.9,220.0,220.0,,,,,,,,,,
50,11:10:30,1,,,0,763,0,,2017,1202,0,,1.63,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,610,0,0,0,61,0,0,,,,,32.7,220.0,35.1,16.7,39.0,34.5,220.0,37.00,3.9,220.0,220.0,,,,,,,,,,
51,11:10:32,1,,,0,763,0,,2038,1165,0,,1.69,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,610,0,0,0,61,0,0,,,,,32.7,220.0,35.1,15.6,40.0,34.9,220.0,38.00,4.9,220.0,220.0,,,,,,,,,,
52,11:10:34,1,,,0,763,0,,2038,1165,0,,1.69,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,65,0,0,,,,,32.7,220.0,35.1,15.6,40.0,34.9,220.0,38.00,4.9,220.0,220.0,,,,,,,,,,
53,11:10:36,1,,,0,763,0,,2038,1165,0,,1.69,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,65,0,0,,,,,32.7,220.0,35.1,15.6,40.0,34.9,220.0,38.00,4.9,220.0,220.0,,,,,,,,,,
54,11:10:38,1,,,0,764,0,,2060,1140,0,,1.74,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,71,0,0,,,,,33.1,220.0,35.7,14.8,40.0,35.3,220.0,38.00,4.3,220.0,220.0,,,,,,,,,,
55,11:10:40,1,,,0,764,0,,2060,1140,0,,1.74,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,71,0,0,,,,,33.1,220.0,35.7,14.8,40.0,35.3,220.0,38.00,4.3,220.0,220.0,,,,,,,,,,
56,11:10:42,1,,,0,764,0,,2060,1140,0,,1.74,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,71,0,0,,,,,33.1,220.0,35.7,14.8,40.0,35.3,220.0,38.00,4.3,220.0,220.0,,,,,,,,,,
57,11:10:44,1,,,0,764,0,,2082,1126,0,,1.78,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,76,0,0,,,,,33.1,220.0,36.3,14.5,41.0,35.7,220.0,38.00,4.7,220.0,220.0,,,,,,,,,,
58,11:10:46,1,,,0,764,0,,2082,1126,0,,1.78,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,76,0,0,,,,,33.1,220.0,36.3,14.5,41.0,35.7,220.0,38.00,4.7,220.0,220.0,,,,,,,,,,
59,11:10:48,1,,,0,764,0,,2082,1126,0,,1.78,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,80,0,0,,,,,33.1,220.0,36.3,14.5,41.0,35.7,220.0,38.00,4.7,220.0,220.0,,,,,,,,,,
60,11:10:50,1,,,0,765,0,,2104,1126,0,,1.80,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,80,0,0,,,,,33.5,220.0,36.3,14.5,41.0,36.1,220.0,39.00,4.7,220.0,220.0,,,,,,,,,,
61,11:10:52,1,,,0,765,0,,2104,1126,0,,1.80,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,83,0,0,,,,,33.5,220.0,36.3,14.5,41.0,36.1,220.0,39.00,4.7,220.0,220.0,,,,,,,,,,
62,11:10:54,1,,,0,765,0,,2104,1126,0,,1.80,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,87,0,0,,,,,33.5,220.0,36.3,14.5,41.0,36.1,220.0,39.00,4.7,220.0,220.0,,,,,,,,,,
63,11:10:56,1,,,0,765,0,,2104,1126,0,,1.80,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,87,0,0,,,,,33.5,220.0,36.3,14.5,41.0,36.1,220.0,39.00,4.7,220.0,220.0,,,,,,,,,,
64,11:10:58,1,,,0,765,0,,2104,1126,0,,1.80,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,87,0,0,,,,,33.5,220.0,36.3,14.5,41.0,36.1,220.0,39.00,4.7,220.0,220.0,,,,,,,,,,
65,11:11:00,1,,,0,765,0,,2132,1126,0,,1.82,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,92,0,0,,,,,33.5,220.0,36.9,14.5,41.0,36.6,220.0,39.00,4.1,220.0,220.0,,,,,,,,,,
66,11:11:02,1,,,0,765,0,,2132,1126,0,,1.82,8.9,,,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,37,37,650,650,0,0,0,92,0,0,,,,,33.5,220.0,36.9,14.5,41.0,36.6,220.0,39.00,4.1,220.0,220.0,,,,,,,,,,
