CH Name,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R,aa,bb,dd,cc,gg,hh,rr,ee,ww,ll
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
125,0.4,1,0.9,0.2,0.8,0.9,0.6,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
126,0.5,1.1,1,0.3,0.8,1,0.6,1,0.7,0.7,120,120,120,120,120,120,120,120,120,120
127,0.5,0.9,0.9,0.3,0.7,0.9,0.6,0.9,0.6,0.6,120,120,120,10,120,120,120,120,120,120
128,0.4,1,0.9,0.2,0.6,0.9,0.5,0.9,0.5,0.6,120,120,120,120,120,120,120,120,120,120
129,0.4,0.9,0.8,0.2,0.6,0.9,0.6,0.9,0.6,0.7,120,120,120,120,120,120,120,120,120,120
130,0.5,1,0.9,0.2,0.7,0.9,0.5,1,0.6,0.6,360,120,120,360,120,120,360,120,120,120
131,0.5,1,0.9,0.3,0.7,0.9,0.5,1,0.6,0.7,120,120,120,10,120,120,120,120,120,120
132,0.5,1,1,0.3,0.7,0.9,0.6,1,0.6,0.7,360,360,120,10,360,120,360,120,120,120
133,0.5,0.8,0.9,0.3,0.7,0.9,0.5,0.9,0.6,0.7,360,360,120,360,360,360,360,120,120,120
134,0.4,1.1,0.9,0.3,0.8,1,0.5,1,0.6,0.7,360,360,120,10,120,120,360,120,120,120
135,0.4,0.9,0.8,0.2,0.6,0.8,0.5,0.9,0.6,0.7,360,120,120,9,120,120,360,120,120,120
136,0.5,1.2,1.1,0.3,0.8,1,0.6,1.1,0.6,0.7,360,120,120,360,120,120,120,120,120,120
137,0.4,0.9,0.8,0.3,0.6,0.8,0.5,0.8,0.6,0.6,120,120,120,360,120,120,120,120,120,120
138,0.4,1,0.9,0.2,0.7,0.9,0.5,1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
139,0.5,1,1,0.2,0.7,1,0.6,1.1,0.6,0.6,120,120,120,120,120,120,120,120,120,120
140,0.4,0.9,0.8,0.2,0.7,0.8,0.5,0.9,0.6,0.6,120,120,120,360,120,120,120,120,120,120
141,0.4,1.1,0.9,0.2,0.8,1,0.5,1,0.6,0.6,360,120,120,120,120,120,120,120,120,120
142,0.5,0.9,0.8,0.3,0.7,0.9,0.6,0.9,0.5,0.7,360,360,120,360,360,360,360,120,120,120
143,0.4,0.9,0.8,0.2,0.6,0.8,0.5,0.9,0.6,0.6,360,360,360,360,360,360,360,120,120,120
144,0.4,0.8,0.8,0.2,0.6,0.8,0.5,0.9,0.6,0.6,360,360,360,360,360,360,360,360,120,120
145,0.5,1,1,0.8,0.7,0.9,0.6,1.1,0.9,0.8,360,360,360,10,360,360,360,360,120,120
146,6.8,5.8,2.6,11.6,2.7,1,2.7,2.9,6.2,1.7,33,360,360,33,360,360,360,360,120,120
147,0.5,0.9,0.8,0.2,0.6,0.9,0.5,0.9,0.6,0.6,360,360,360,360,360,360,360,360,120,120
148,0.4,0.9,0.8,0.7,0.7,0.9,0.5,0.9,0.6,0.6,360,360,360,360,360,360,360,360,120,120
149,1.2,1.5,1.1,2.3,1.1,0.8,1.4,1.2,2.3,0.9,360,360,360,36,360,360,360,360,120,120
150,3,2.9,1,5.6,1.4,1.8,2.7,1.3,1.8,1,360,360,360,38,360,360,4,360,120,120
151,0.7,1.4,1,1,1,1.6,0.7,1,0.9,0.7,360,360,360,11,360,360,360,360,120,120
152,1.3,1.6,0.9,2.3,0.9,0.8,1.1,1.1,1,0.9,34,360,360,37,360,360,360,360,120,120
153,1.2,1.3,0.9,1.8,0.8,0.8,1.1,1.1,1,0.8,41,360,360,41,360,360,41,360,120,120
154,1,1.5,0.9,1.5,0.7,0.7,1,1.1,1.1,0.8,43,360,360,43,360,360,43,360,120,120
155,0.9,1.2,0.9,1.3,0.7,0.8,1,0.9,1,0.8,45,360,360,45,360,360,45,360,120,120
156,0.9,1.2,0.9,1.4,0.8,0.8,1.1,1,1.2,0.9,47,360,360,47,360,360,47,360,120,120
157,0.8,1.2,0.8,1.2,0.7,0.8,1.2,1.1,1,0.9,49,360,360,49,360,360,25,360,120,120
158,0.7,1,0.8,1.1,0.6,0.6,1.1,0.9,1.1,0.8,51,360,120,26,360,360,26,360,120,120
159,0.6,1.3,1.1,1.2,0.7,0.8,1.2,0.9,1.3,0.8,53,27,360,27,120,360,27,360,27,120
160,0.8,1.4,0.9,1.5,0.7,0.7,1.3,0.9,1.2,1,28,28,360,28,120,360,28,360,28,120
161,0.8,1.4,0.8,1.5,0.7,0.7,1.4,1.2,1.2,1.1,29,29,360,29,120,360,29,360,120,120
162,1,1.3,0.8,1.7,0.8,0.6,1.4,1.1,1.1,1,30,30,120,30,120,120,30,120,120,120
163,1.4,1.9,1,2.4,0.8,0.8,1.8,1.4,1.2,1.1,31,31,120,31,31,120,31,31,120,120
164,1.5,2,1,2.3,1,0.7,1.9,1.3,1.2,1,32,32,120,32,32,120,32,32,120,120
165,1.4,2.1,1.1,2.2,1,0.7,2.3,1.5,1,1.1,33,33,120,33,33,360,33,33,120,120
166,1.8,2.6,1.1,3.2,1.1,0.7,2.5,1.7,1.2,0.9,34,34,360,34,34,360,34,34,120,120
167,1.7,2.5,1,3.3,1.2,0.8,2.6,1.9,1.4,0.8,35,35,360,35,35,360,35,35,35,120
168,1.6,2.5,1,3.2,1.2,0.8,2.9,2.4,1.1,0.9,36,36,120,36,36,360,36,36,120,120
169,1.5,2.7,1.3,2.8,1.2,0.8,2.9,2.4,1,1.1,37,37,37,37,37,120,37,37,120,120
170,1.6,2.6,1.7,2.6,1.4,0.7,2.9,2.3,1.2,0.9,38,38,38,38,38,120,38,38,120,120
171,1.5,2.4,1.6,2.3,1.4,0.8,2.5,2.1,1,0.8,39,78,39,39,39,120,39,39,120,120
172,1.5,2.2,1.5,1.9,1.3,0.7,2.2,2.2,1.1,0.8,40,80,40,40,40,120,40,40,120,120
173,1.6,2.3,1.6,1.9,1.4,0.7,2,2,1,1.2,41,82,41,41,41,120,41,41,120,120
174,1.6,2.2,1.4,1.8,1.3,0.8,2,1.9,1.1,1,84,84,42,42,42,120,42,42,120,120
175,1.8,3,1.6,2,1.3,0.9,1.7,1.7,1.1,1,86,86,43,43,43,120,43,43,120,120
176,2,3.1,1.6,1.8,1.4,0.7,1.7,1.8,1.1,0.9,88,88,44,44,44,120,44,44,120,120
177,1.8,3.4,1.8,2,1.5,0.9,1.7,1.7,1.1,1,90,90,45,45,45,120,45,120,120,120
178,1.4,3,1.9,2.1,2,0.8,1.6,1.9,1.2,1,93,46,46,46,46,120,46,120,120,120
179,1.4,2.8,1.9,2,1.9,0.8,1.6,1.9,1.2,1,47,47,47,47,47,120,47,120,120,120
180,1.3,2.5,1.5,1.9,1.6,0.9,1.7,1.7,1.3,1.1,48,48,120,48,48,120,48,120,120,120
181,1.2,2.3,1.2,2,1.5,0.8,2,1.9,1.1,1.2,49,49,120,49,49,120,49,120,120,120
182,1.1,1.7,1.3,1.7,1,0.9,1.9,1.8,1.1,1,50,50,120,50,50,120,50,120,120,120
183,0.9,1.8,1.6,1.9,0.8,0.8,2.1,2,0.9,1.1,51,51,120,51,120,120,51,120,120,120
184,0.9,2.2,1.7,1.9,1,0.9,2.4,2,1.2,1.2,52,52,120,52,120,120,52,120,120,120
185,1,2.3,1.7,2,1,1.1,2.4,2.2,1.3,1.2,120,53,120,53,120,120,53,120,120,120
186,1,2.1,1.7,2.2,1.2,0.8,2.4,2,1.4,1.3,53,53,120,53,120,120,53,120,120,120
187,0.9,2,1.8,2.1,1.1,0.9,2.2,1.9,1.4,1.1,53,53,120,53,120,120,53,53,120,120
188,1,2,1.7,2.2,1,0.7,2.4,2.5,1.5,1.1,53,53,120,53,120,120,53,53,120,120
189,1,2,1.6,2.3,1.1,0.8,2.6,2.4,1.6,1.3,53,53,158,53,120,120,53,53,120,120
190,0.9,2.1,1.7,2.1,1,0.8,2.4,2,1.4,1.2,53,53,158,53,53,120,53,53,120,120
191,1.1,2.1,1.7,2.2,1,0.9,2.4,2,1.4,1.1,53,53,158,53,53,120,53,53,120,120
192,1,2.1,1.6,2.2,0.9,0.7,2.3,2.3,1.5,1.2,53,53,158,53,53,360,53,53,120,120
193,1.1,2.1,1.6,2.5,1,0.7,2.4,2.1,1.3,1.1,53,53,158,53,53,360,53,53,120,120
194,1,2.1,1.5,2.3,0.9,0.8,2.3,2,1.3,1.2,53,53,158,53,53,360,53,53,120,120
195,1,2.1,1.5,2.2,1.1,0.7,2.3,1.9,1.4,1.1,53,53,158,53,53,360,53,53,120,120
196,1,2.1,1.5,2.4,1,0.9,2.2,2,1.3,1.3,53,53,158,53,53,360,53,53,53,120
197,1,2,1.6,2.3,1,0.7,2.3,1.9,1.4,1.1,53,53,158,53,53,360,53,53,53,120
198,0.9,2.1,1.5,2.3,1,0.8,2.4,2.1,1.5,1.1,53,53,158,53,53,360,53,53,53,120
199,1.1,2.2,1.6,2.3,1,0.7,2.5,2.3,1.4,1.2,53,53,158,53,53,360,53,53,53,120
200,1.1,2.1,1.5,2.3,1.1,0.7,2.4,2.2,1.5,1.2,53,53,158,53,53,360,53,53,53,120
201,1,2,1.6,2.3,1,0.7,2.4,2,1.3,1.1,53,53,158,53,53,360,53,53,53,120
202,1.1,2,1.6,2.3,1,0.7,2.5,2.2,1.5,1.2,53,53,158,53,53,360,53,53,53,120
203,1,2.1,1.7,2.1,1,0.8,2.4,2,1.3,1,53,53,158,53,53,360,105,53,53,120
204,1,2.1,1.7,2.3,1,0.7,2.4,2.2,1.3,1.1,53,53,158,53,53,120,53,53,53,120
205,1,2.2,1.7,2.2,0.9,0.7,2.3,2.1,1.4,1.2,53,53,158,53,53,360,53,53,53,120
206,1,2,1.8,2.2,1,0.7,2.4,2,1.3,1.1,53,53,158,53,53,360,105,53,53,120
207,1,2.2,1.6,2.2,1,0.7,2.5,2.1,1.4,1.3,53,53,158,53,53,120,53,53,120,120
208,1.1,2.2,1.9,2.3,1.1,0.8,2.4,2,1.4,1,53,53,158,53,53,120,53,53,120,120
209,1,2.2,1.8,2.2,1.1,0.7,2.3,2.2,1.3,1.2,53,53,120,53,53,120,105,53,120,120
210,1.1,2.3,1.7,2.2,0.9,0.9,2.4,2.1,1.4,1.3,53,53,158,53,120,120,53,53,120,120
211,1.1,2.3,1.8,2.2,1.1,0.8,2.5,2.2,1.5,1.1,53,53,120,53,120,120,105,120,120,120
212,1.1,2,1.8,2.2,1.1,0.9,2.5,2.2,1.4,1.3,53,53,120,53,120,120,105,120,120,120
213,1,2,1.8,2.1,1,0.9,2.3,2.1,1.4,1,53,53,120,53,53,120,53,120,120,120
214,1.1,2.4,1.8,2.2,1.1,0.8,2.5,2.3,1.3,1.1,53,53,120,53,120,120,105,120,120,120
215,1.1,2.2,1.8,2.2,1.2,0.9,2.4,2.2,1.4,1.2,53,53,120,53,120,120,105,120,120,120
216,1,2.1,1.9,2.2,1,1,2.5,2.1,1.4,1.2,53,53,120,53,120,120,105,120,120,120
217,1,2.3,1.6,2.5,1.2,0.7,2.5,2.3,1.5,1.2,53,53,120,53,120,120,105,120,120,120
218,1,2.1,1.7,2.1,1.1,0.8,2.5,2.4,1.3,1.2,53,53,120,53,120,120,105,120,120,120
219,1,2.2,1.8,2.3,1.1,0.8,2.3,2.2,1.3,1.2,53,53,120,53,120,120,105,120,120,120
220,1.1,2.1,1.7,2.2,1.1,0.8,2.4,2.3,1.4,1.3,53,53,120,53,120,120,105,120,120,120
