CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH23,CH24,CH25,CH26
43,0.8,1.6,1.3,0.3,1.6,2.1,3.4,3.8,1.7,4.2,0.7,1.7,4.8,4.6,0.4,1.1,1.8,7.1,1.1,1.4,76,75,74,222,75,75,75,75,75,75,74,75,75,75,75,75,75,75,75,74
44,1.4,3.8,1.3,0.3,2.6,3.2,5.6,4.7,2.4,5,1.3,2.1,6.9,5.5,0.5,1.7,2.4,6.2,0.9,1.6,79,80,79,80,79,79,79,79,79,79,80,79,79,79,79,79,79,79,311,80
45,1.8,4.8,1.1,0.4,3.4,2.9,7.2,5.1,2.4,5.6,2.3,2.2,8.5,6.6,0.5,1.6,2.8,7.5,1.2,2.2,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,83
46,2.5,4.8,1.2,0.6,3.2,2.6,8.3,4.6,2.9,5.2,2.4,2,8.8,7.4,0.3,1.3,4.3,13,2.4,2.5,87,87,176,88,87,87,87,87,87,87,87,87,87,87,259,87,87,87,87,87
47,2.9,4.7,1.5,0.6,2.8,1.6,8.4,3.2,2.7,3.7,1.8,1.4,6.7,7.4,0.4,1.8,4.3,14.4,2.8,2.1,91,91,92,91,91,91,91,91,91,91,91,91,91,91,271,91,91,91,91,91
48,3.1,4.8,1.8,0.7,2.1,1.5,6.7,2.3,2.1,2.5,1.4,1,4.8,5.9,0.4,2.1,3.2,13.1,2.3,2.3,94,94,95,94,94,97,94,94,94,94,94,94,94,94,283,94,94,94,94,95
49,3.7,5.8,1.9,0.7,1.9,1.4,5.3,2.1,1.5,2.1,1.1,0.9,3.4,5,0.4,1.2,2.7,8.2,2.2,2.1,100,100,100,100,99,100,100,100,100,100,100,100,99,100,100,100,201,197,100,100
50,3.6,5.7,2.6,0.7,1.4,1.3,3.6,1.5,1.2,1.8,0.9,0.8,2.3,3.5,0.4,0.9,2.2,4.6,1.6,1.8,104,104,104,104,103,104,104,104,104,104,104,104,104,104,209,104,209,205,104,104
51,3.4,5.5,2.4,0.6,1.3,1.6,3.7,1.5,1.4,2,1.1,0.7,2.2,3.3,0.4,0.9,2.6,3.3,1.6,2.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,210,105,105
52,3.2,5.3,2.6,0.6,1.3,1.7,3.7,1.8,1.3,1.8,1.2,0.9,2.4,3.4,0.6,1,2.6,3.1,1.7,2.5,105,105,105,105,105,105,105,105,105,105,105,105,105,105,209,105,209,210,105,105
