CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
53,0.5,0.4,0.4,1,1.7,1.8,2.6,0.5,1.6,0.3,1.6,3.2,2.1,1.4,0.2,0.4,3.2,3.5,8,8,8,8,4,4,4,15,4,8,9,8,15,4,4,9,8,8
54,0.4,0.4,0.4,1.1,1.7,2.3,2.9,0.5,1.9,0.4,1.7,2.6,2.1,1.3,0.3,0.6,1.8,3.7,11,10,10,10,13,4,10,4,13,11,13,11,12,4,11,11,12,11
55,0.4,0.3,0.9,1.4,3.2,2.1,4.5,1.1,3,0.3,1.9,2.5,7.7,1.4,0.6,0.7,3.6,3.6,17,17,16,17,16,16,16,17,16,17,16,18,16,17,17,17,17,29
56,0.5,0.4,1,1.2,2.5,2,2.1,1.7,2.5,0.3,2.4,3.8,2.8,1.6,0.8,1.4,3.3,4.6,23,23,23,23,20,19,23,20,20,23,20,23,21,20,132,23,21,22
57,0.6,0.5,1.6,1.2,1.6,1.3,2.4,0.6,1.4,0.4,1.3,3.8,1.9,1,0.4,1.2,3.8,6.3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,102,25,25,25
58,0.6,0.5,2,1.4,1.9,1.3,2.7,0.7,1.7,0.5,1.7,3.8,2.2,1.2,0.5,1.1,4.4,7.9,26,26,26,26,26,26,26,26,26,26,26,26,26,26,104,26,26,26
59,0.7,0.6,2.4,2.3,2.1,1.5,2.7,1,1.9,0.5,2.4,4.4,2.4,2,0.5,1.2,3.2,7.5,27,27,27,27,27,27,27,27,27,27,27,27,27,27,107,27,27,27
60,0.8,0.8,2.6,2.7,3.6,2,2.6,1.8,3.4,0.7,4,5.8,2.7,3.7,0.6,1.4,3,7,28,28,28,28,28,28,28,28,28,28,28,28,28,28,138,28,28,28
61,0.7,0.8,2.8,3.3,5.7,3.4,2.2,3.3,5.2,0.5,6.7,6.2,2.9,6.4,0.6,1.7,2.5,6,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,58,29
62,0.8,0.7,2.5,3.8,5.9,3.9,2.5,3.6,5.4,0.4,7.6,5.1,3.4,7,0.5,1.6,2.7,5.2,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
