CH Name,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
150,1.2,1.4,1.6,1.5,2.4,0.9,1.5,1.9,1.8,1.2,47,360,47,47,47,360,127,127,28,120
151,1.1,1.3,1.5,1.6,2.3,1.0,1.3,1.8,1.6,1.2,47,120,47,47,47,360,127,127,28,120
152,1.1,1.5,1.7,1.6,2.3,1.1,1.2,1.8,1.9,1.3,47,360,47,47,47,360,127,127,28,120
153,1.1,1.4,1.6,1.7,2.4,1.0,1.3,1.8,1.9,1.2,47,360,47,47,47,360,127,127,28,120
154,1.2,1.2,1.5,1.6,2.6,0.9,1.3,1.7,1.6,1.3,47,360,47,47,47,360,127,127,28,120
155,1.1,1.4,1.6,1.6,2.3,0.9,1.5,1.9,1.9,1.2,47,360,47,47,47,360,127,127,28,120
156,1.1,1.5,2.0,1.5,2.3,0.9,1.3,2.0,1.9,1.2,47,360,47,47,47,360,127,127,28,120
157,1.2,1.4,1.5,1.7,2.3,1.1,1.5,1.8,1.8,1.4,47,360,47,47,47,360,127,127,28,120
158,1.1,1.4,1.4,1.7,2.5,1.0,1.3,1.7,1.7,1.3,47,360,47,47,47,360,127,127,28,120
159,1.2,1.5,1.7,1.6,2.4,1.0,1.3,1.8,1.8,1.5,47,120,47,47,47,120,127,127,28,120
160,1.2,1.4,1.8,1.6,2.5,1.0,1.2,1.9,1.9,1.3,47,120,47,47,47,120,127,120,28,120
161,1.3,1.3,1.5,1.5,2.5,0.9,1.4,1.7,1.8,1.6,47,360,47,47,47,360,127,127,28,120
162,1.3,1.7,1.5,1.7,2.5,1.0,1.4,2.2,1.8,1.4,47,30,47,47,47,360,29,30,30,120
163,1.9,2.8,2.3,2.8,3.1,0.9,2.1,2.6,2.0,1.7,32,32,47,32,47,120,32,32,32,120
164,2.1,3.1,2.1,3.3,3.1,1.0,2.0,2.2,2.4,1.4,32,32,146,32,47,120,33,33,32,120
165,2.2,3.2,2.7,3.5,3.2,1.0,2.0,2.3,2.4,1.4,32,32,47,32,32,120,32,32,32,120
166,2.0,3.8,2.3,3.6,3.2,1.1,2.0,2.3,2.5,1.4,32,32,47,32,32,120,32,32,32,120
167,2.2,3.3,2.4,3.8,3.2,0.9,2.2,2.3,2.7,1.6,32,32,47,32,32,120,32,32,32,120
168,2.2,3.4,2.3,3.6,3.1,1.0,2.0,2.1,2.4,1.4,32,32,47,32,32,120,32,32,32,120
169,2.5,3.6,2.1,4.2,3.5,0.9,2.0,2.4,2.7,1.3,32,32,47,32,32,120,32,32,32,120
170,2.7,3.7,2.5,4.6,3.2,1.0,2.1,2.2,2.6,1.5,32,32,47,32,32,120,32,32,32,120
171,2.4,3.6,2.4,4.4,3.6,1.2,2.5,2.7,2.6,1.5,32,32,47,32,32,120,32,32,32,120
172,2.7,3.8,2.6,4.9,3.2,1.0,2.1,2.2,2.4,1.4,32,32,47,32,32,120,32,32,32,120
173,2.5,4.1,2.2,4.4,3.3,1.0,2.1,2.8,2.7,1.3,32,32,47,32,32,120,32,32,32,120
174,2.6,3.7,2.7,4.6,3.4,1.0,2.2,2.5,2.7,1.3,32,32,47,32,32,120,32,32,32,120
175,2.7,3.8,2.4,4.5,3.4,1.0,2.3,2.4,2.8,1.5,32,32,47,32,32,120,32,32,32,120
176,2.7,3.8,2.4,4.7,3.4,1.1,2.3,2.6,2.7,1.5,32,32,47,32,32,360,32,32,32,120
177,2.7,4.2,2.2,4.6,3.2,1.0,2.2,2.4,2.7,1.5,32,32,47,32,32,120,32,32,32,120
178,2.6,3.7,2.5,4.9,3.5,0.9,2.2,2.4,2.7,1.5,32,32,47,32,32,120,32,32,32,120
