CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
43,3,5.5,1.7,0.6,3,2.2,8.4,3.3,2.6,3.9,2,1.5,5.6,7.8,0.4,2.1,4.6,15.7,3.2,2.5,92,92,92,92,91,92,91,91,91,91,91,91,91,91,275,91,91,91,91,91
44,3.1,4.9,1.8,0.7,2.5,1.6,6.7,2.4,2.3,3.1,1.6,1,4.8,6.2,0.4,1.5,3.5,14.5,2.5,1.6,96,96,96,96,96,96,94,94,94,94,94,94,94,94,280,94,94,94,94,96
45,3.9,5.8,2.1,0.5,2,1.1,5.3,2.1,1.6,2.3,1.2,0.9,3.7,5.3,0.3,1.1,2.9,9,2.3,1.5,100,100,100,99,99,100,100,100,100,100,100,100,100,100,100,100,201,100,100,100
46,3.2,4.6,2.6,0.4,1.7,1.4,3.7,1.8,1.5,2,1.5,0.8,2.8,4.1,0.4,1.1,2.7,4.2,1.9,1.9,104,104,104,314,209,104,104,104,104,104,104,104,104,104,209,104,209,205,104,104
47,2.7,3.8,2.3,0.4,1.6,1.5,3.5,1.7,1.4,2.2,1.5,0.9,2.7,3.8,0.4,1,2.7,3.7,1.8,1.9,105,105,210,315,210,105,105,105,105,105,105,105,105,105,210,105,210,210,105,105
48,2.7,3.7,2.4,0.4,1.7,1.7,3.4,1.9,1.5,2.5,1.7,0.9,2.8,3.7,0.4,1.1,2.6,3.5,1.8,2.3,105,105,210,315,210,105,105,105,105,105,105,105,105,105,210,105,210,210,105,105
49,2.7,3.7,2.8,0.4,1.9,1.8,3.7,2,1.8,2.5,1.8,1,2.8,3.8,0.5,1.1,2.8,3.8,1.8,2.8,105,105,210,315,210,105,105,105,105,105,210,105,105,105,210,105,210,210,105,105
50,2.7,4,3,0.4,1.9,1.9,3.6,2.3,1.6,3.1,1.8,1.1,2.7,3.6,0.4,1.1,2.9,3.5,1.8,2.9,105,105,210,315,210,105,105,210,105,105,105,105,105,105,420,105,210,210,105,105
51,2.7,4,2.8,0.5,1.6,2.2,3.6,2.5,2,3.1,1.8,1.1,2.8,3.6,0.4,1.1,3.2,3.4,2,3.5,105,105,105,105,210,105,105,105,105,105,105,105,105,105,421,105,210,210,105,105
52,2.9,4.6,2.8,0.6,1.5,2.3,3.4,2.3,1.8,2.9,1.8,1.2,2.8,3.4,0.4,1.1,3,3.6,1.9,3.6,105,105,105,105,210,105,105,105,105,105,105,105,105,105,420,105,210,210,105,105
53,2.9,4.6,2.8,0.6,1.5,2.6,3.4,2.2,1.9,3.1,1.9,1.2,2.9,3.4,0.4,1,3.2,3.4,1.8,3.9,105,105,105,105,210,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
54,3,4.9,2.8,0.6,1.6,2.7,3.4,2.3,1.9,3.4,1.9,1.2,3,3.3,0.4,1.3,3.2,3.5,1.9,4.2,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
55,3,5,2.8,0.6,1.6,2.8,3.3,2.4,1.9,3.7,2,1.3,3,3.2,0.4,1.2,3.1,3.4,1.8,4.4,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
56,3.1,5,2.9,0.6,1.8,3.1,3.2,2.5,1.8,3.4,2.2,1.3,3.1,3.1,0.4,1,3.2,3.7,1.8,4.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
57,3.1,5.1,2.8,0.6,1.8,3.3,3.3,2.4,2,3.5,2.2,1.5,3.2,3,0.4,1.1,3.5,4,1.7,4.9,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,105,105,105
58,3.1,5,2.8,0.6,1.8,3.3,3.2,2.5,2.6,3.2,2.2,1.3,3.2,3,0.4,1.1,3.2,4,1.8,5,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,105,105,105
59,3.1,5,2.8,0.6,1.9,3.2,3.1,2.2,2.2,3.6,2.2,1.3,3.1,3.1,0.4,0.9,3.2,3.7,1.9,4.9,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
60,3.1,4.9,2.7,0.6,1.8,3.1,3,2.2,1.8,3,2.2,1.2,3.1,3.1,0.4,1,3.3,3.7,1.6,4.7,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
61,3.1,5.1,2.7,0.6,1.8,3.2,3.2,2.2,2,3.4,2.1,1.2,3.1,3,0.3,0.9,3.2,3.6,1.8,4.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
62,3.1,5,2.7,0.6,1.8,3.1,3.1,2.2,2,3.1,2.1,1.2,3,3,0.4,0.9,3.1,3.3,1.7,4.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
63,3.1,5,2.7,0.6,1.8,3.1,3.1,2.5,2,3.1,2.1,1.3,3,3,0.4,0.8,3.3,3.6,1.8,4.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
64,3.1,5,2.7,0.6,1.8,2.8,3.1,2.1,1.8,3.1,2,1.2,3,3,0.4,0.9,3.3,3.1,1.7,4.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
65,3.1,5.1,2.7,0.6,1.7,2.9,3.2,2.1,2,3,2,1.3,2.9,3,0.5,1,3.3,3.4,1.7,4.3,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
66,3.1,5.1,2.7,0.6,1.8,2.9,3.3,2.1,1.8,2.9,2,1.2,2.7,3,0.4,1.1,3.2,3.3,1.8,4.5,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
67,3.1,5.1,2.7,0.6,1.7,2.9,3.2,2.1,2.1,3,2,1.1,2.8,3,0.4,1.1,3.2,3.2,1.7,4.2,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
68,3.1,5.1,2.8,0.6,1.7,2.8,3.1,2,1.7,3,2,1.3,2.8,3.1,0.4,0.9,3.1,3.2,1.7,4.2,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
69,3.1,5.1,2.7,0.6,1.8,2.8,3.1,2,1.6,3,2,1.2,2.7,3.1,0.4,0.9,3.1,2.9,1.7,4.3,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
