CH Name,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R
CH No.,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31
143,0.8,1.8,1.1,1,0.8,1.2,1.1,1.8,1.3,0.6,0.7,1.7,75,37,120,37,37,37,120,37,37,120,37,37
144,0.8,1.8,1.1,1,0.8,1.1,1,2,1.3,0.7,0.7,1.6,75,37,120,37,37,37,120,37,37,120,37,37
145,0.8,1.7,1.1,1,0.8,1.1,1.2,1.9,1.2,0.7,0.8,1.7,75,37,120,37,37,37,120,37,37,120,37,37
146,0.8,1.8,1,0.9,0.8,1.2,1.1,1.9,1.3,0.7,0.7,1.7,75,37,37,37,37,37,120,37,37,120,37,37
147,0.8,1.6,1,1,0.7,1.1,1.1,1.8,1.3,0.7,0.7,1.7,75,37,37,37,37,37,120,37,37,120,37,37
148,0.8,1.7,1,0.9,0.8,1.1,1,1.9,1.3,0.7,0.7,1.7,75,37,37,37,37,37,120,37,37,120,37,37
149,0.8,1.8,1,1,0.8,1.2,1,1.9,1.2,0.7,0.7,1.7,75,37,37,37,37,37,120,37,37,120,37,37
150,0.8,1.8,1,1,0.8,1.1,1.1,1.9,1.2,0.6,0.7,1.8,75,37,37,37,37,37,120,37,37,120,37,37
151,0.8,1.7,1.1,1,0.8,1.2,1,2,1.3,0.7,0.8,1.8,75,37,37,37,37,37,120,37,37,120,37,37
152,0.9,1.8,0.9,1,0.8,1.2,1,2.2,1.2,0.6,0.8,2.1,76,38,38,38,38,38,120,38,38,120,38,38
153,0.9,1.8,0.9,0.9,0.7,0.9,0.9,2.3,1,0.7,0.9,2.1,78,39,39,39,39,39,120,39,39,120,39,39
154,0.8,1.5,1,1,0.7,0.7,1,2.3,1.2,0.8,0.9,2.1,80,40,40,40,40,40,120,40,80,120,40,40
155,0.9,1.1,1.1,0.9,0.6,0.7,1,2.6,1.3,0.9,1,1.9,82,41,41,41,41,120,120,41,82,120,41,41
156,1,1,1.1,1,0.6,0.5,1.1,2.7,1.3,0.8,1,1.7,84,42,42,42,42,120,120,42,42,120,42,42
157,1,1,1,1,0.6,0.6,1,2.6,1.3,0.9,0.9,1.7,86,86,43,43,43,120,120,43,43,120,43,43
158,0.9,1.7,1.2,0.9,0.6,0.6,1.1,2.3,1.5,0.8,0.9,1.9,88,44,44,44,44,120,120,44,44,120,44,44
159,1,1.7,1.2,1,0.7,0.6,1.2,2.1,1.6,0.9,0.9,1.7,90,45,45,45,45,120,120,45,45,120,45,45
160,1.1,1.4,1.1,1,0.6,0.6,1.1,1.9,1.4,0.8,0.9,2,93,46,46,46,46,120,120,120,46,120,46,46
161,1.1,1.8,1.1,1.1,0.7,0.6,1.1,1.8,1.4,0.8,0.8,1.7,95,47,47,47,47,120,120,120,47,120,47,47
