CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
64,0.4,0.3,0.8,1.1,3.3,2.6,4.5,2.3,3.3,0.3,2.8,2.6,8,2,0.9,1,3.6,4.5,18,20,22,22,20,21,19,20,20,22,20,22,19,20,20,21,19,22
65,0.5,0.4,1,1.2,1.2,1.5,2.6,0.8,1.2,0.4,1.1,3.7,2.1,0.7,0.6,1,3.6,5.5,25,25,25,25,26,25,25,25,25,25,26,25,25,25,143,25,25,25
66,0.5,0.5,1.4,1,1.4,1.4,2.6,0.6,1,0.4,1.1,3.4,1.9,0.9,0.4,1.1,2.9,3.2,26,26,26,26,26,26,26,26,26,26,26,26,26,26,131,26,26,26
67,0.6,0.7,2.1,2,1.9,1.4,2.8,0.9,1.4,0.4,1.7,3.9,2.1,1.2,0.4,1.2,3,3.6,27,27,27,27,27,27,27,27,27,27,27,27,27,27,109,27,27,27
68,0.8,0.8,2.8,3.1,3.2,2,3.3,1.2,2.7,0.5,3.1,5,2.3,2.3,0.5,1.5,3.7,4,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
69,0.8,0.7,2.9,3.3,4.9,2.1,2.7,2.2,4.3,0.5,5,5.9,2,3.9,0.5,1.9,3.1,4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
70,0.7,1,2.6,3.8,5.9,2.8,1.5,3.1,5.3,0.8,6.7,6,1.2,5.7,0.5,2,2.2,4.5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,12,30
71,1.1,0.7,2.2,3.9,6.6,3.3,2.1,3.5,5.9,0.6,7.5,5.6,2.2,6.3,0.6,2.2,2.5,4,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
72,1.5,0.9,2.2,4.5,6.4,3.5,3.1,3.2,5.8,0.5,7.2,4,2.7,5.9,0.7,2.1,3.2,3,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
73,1.2,1.1,2.5,4.6,6.1,3.3,3.8,2.9,5.5,0.6,6.6,4,3.4,5.3,0.7,2.1,3.4,3,33,33,33,33,33,33,33,33,33,33,33,33,33,33,67,33,33,33
74,1.5,1.2,3.2,4.7,5.6,2.9,4.2,2.4,5,0.7,5.6,4.2,3.9,4.5,0.6,1.9,3.9,3,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
75,1.7,1.3,3.4,4.7,5.4,2,4.4,1.7,4.9,0.9,4,4.2,4.3,3.7,0.6,1.9,4.3,3.2,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
76,1.8,1,3.4,4,5.6,1.4,4,1.9,5,0.9,3.8,3.6,4.3,3.8,0.6,2.1,5.8,4.3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
77,1.7,0.9,3.3,3.5,5.9,1.5,3.1,2.3,5.4,0.8,4.8,2.4,3.5,4.5,0.6,2.1,6.4,4.9,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
78,1.5,0.8,2.9,3.2,6.5,2.7,2.1,3,6,0.8,6.6,2.7,3.4,5.6,0.6,1.7,7.2,5.3,38,38,38,38,38,38,38,38,38,38,38,39,38,38,38,38,38,38
79,1.7,0.8,3.3,3.3,7.2,3.8,2.1,3.7,6.7,0.9,8.7,3.9,2.9,6.8,0.7,1.9,7.6,3.2,39,39,39,39,39,39,40,39,39,39,39,39,39,39,39,39,39,39
80,1.5,0.8,3.4,2.6,7.4,4.7,2.5,4.4,7.2,1,10.5,4.9,2.8,7.8,0.9,2,7.3,3,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,81
81,1.5,0.9,3.4,1.9,7.3,5,3,4.5,7.2,1,10.9,5.7,2.2,8,1.1,2,6.9,2.9,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,83
82,1.4,1,3,1.2,6.5,4.6,3.2,4.1,6.4,0.8,10,5.7,1.4,7.5,1.2,1.8,6.3,3.2,42,43,42,43,42,42,42,42,42,42,42,42,42,42,42,43,42,85
83,1.4,1,2.5,1.2,5.4,3.9,3.1,3.6,5.3,0.8,8.7,5.7,1.8,6.7,1.5,1.9,5.8,3.5,44,44,44,44,44,44,44,44,43,44,43,44,44,44,43,44,87,87
84,1.3,1,2.3,1.5,4.7,3.6,3,3.2,4.5,0.7,7.5,5.4,3.6,6.4,1.7,2.6,4.7,3.7,45,45,45,45,45,45,45,45,45,45,44,45,45,45,45,45,89,89
85,1.2,1.3,1.8,1.8,3.7,3.4,3.4,2.8,3.6,0.7,5,5.2,4.5,6.1,1.9,2.8,4.4,3.9,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,91,91
86,1.2,1.3,1.8,1.7,3,3.1,3.4,2.3,2.7,0.6,2.4,5,4.8,5.4,1.6,2.3,5.2,6,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,93,47
87,1.2,1.3,1.6,1.8,2.6,2.7,3,2,2.4,0.6,2.5,4.6,4.2,4.8,1.4,1.6,5,7.9,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,95,47
88,1.1,1.4,1.7,1.6,2.3,3,2.5,1.7,2.1,0.6,2.7,3.9,4,4.3,1.2,1.3,4.6,6.9,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,97,97
89,1,1.1,1.6,1.4,1.9,1.9,2.2,1.4,1.8,0.6,2.5,3.7,3.1,3.9,0.8,1.1,4.8,7.4,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,99,99
90,1,1.2,1.4,1.6,1.7,1.8,2.1,1.3,1.5,0.6,2.3,3.5,2.8,3.3,0.7,1.3,3.6,4.9,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,203,101,101
91,1.3,1.7,1.9,2,2.1,2.3,2.4,1.4,2.1,0.7,3.2,4.1,3.5,3.7,1,1.4,3.5,3.9,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,207,103,52
92,1.3,1.6,1.8,2,1.9,2,2.5,1.3,1.9,0.6,2.9,3.8,3.4,3.3,0.9,1.4,3.4,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
93,1.2,1.6,1.8,2,2,1.8,2.2,1.2,1.9,0.6,2.9,3.7,3.3,3.1,0.9,1.3,3.3,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
94,1.2,1.6,1.9,1.9,1.9,1.9,2.3,1.2,1.9,0.6,2.8,3.6,3.2,3.2,0.9,1.3,3.2,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
95,1.2,1.6,1.8,1.9,2,2,2.3,1.3,1.9,0.7,2.8,3.5,3.2,3.2,0.8,1.2,3.3,3.2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
96,1.2,1.6,1.8,2,2,1.9,2.3,1.2,1.9,0.6,2.9,3.5,3.5,3.2,0.9,1.2,3.3,3.2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
97,1.2,1.6,1.7,1.9,1.9,2,2.3,1.3,1.9,0.6,2.8,3.5,3.1,3.2,0.9,1.3,3.4,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
98,1.2,1.6,1.8,1.8,1.9,1.9,2.2,1.3,1.9,0.6,2.9,3.1,3,3.2,0.9,1.2,3.3,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
99,1.1,1.5,1.7,1.8,1.8,1.8,1.8,1.2,1.8,0.7,2.8,3,2.9,3.1,0.9,1.1,3.2,3.5,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
100,1.1,1.6,1.7,1.7,1.8,1.7,1.9,1.1,1.8,0.7,2.8,2.9,2.8,3.1,0.8,1.2,2.9,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
101,1.1,1.5,1.6,1.8,1.8,1.6,1.8,1.2,1.7,0.6,2.7,2.9,3,3.1,0.8,1.2,3.1,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
102,1.1,1.6,1.6,1.7,1.9,1.7,1.8,1.1,1.8,0.6,2.7,2.9,3.2,3.1,0.8,1.1,3.1,3.2,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
103,1.1,1.6,1.7,1.8,1.8,1.8,1.9,1.2,1.7,0.7,2.7,2.8,2.9,3.1,0.8,1.1,3.2,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
104,1.1,1.6,1.7,1.7,1.8,1.6,1.8,1.1,1.8,0.7,2.7,3,2.9,3.1,0.9,1.2,3.1,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
105,1.1,1.5,1.6,1.6,1.7,1.8,2,1.2,1.7,0.7,2.7,2.9,2.9,3.1,0.9,1.1,3.1,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
106,1.1,1.6,1.6,1.8,1.7,1.7,1.6,1.2,1.7,0.6,2.8,3,2.8,3.2,0.8,1.1,3.1,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
107,1.1,1.6,1.6,1.9,1.8,1.7,1.8,1.2,1.7,0.6,2.8,3.2,2.8,3.2,0.8,1.1,3.6,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
108,1.1,1.5,1.6,1.8,1.7,1.7,1.9,1.2,1.7,0.6,3,3.5,2.8,3.2,0.9,1.1,3.7,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
109,1.1,1.6,1.8,2,1.8,1.6,1.9,1.2,1.7,0.7,2.9,3.4,2.8,3.2,0.9,1.1,3.6,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
110,1.1,1.6,1.7,1.9,1.8,1.9,2,1.2,1.7,0.7,2.9,3.4,2.8,3.1,0.9,1.1,3.6,3.4,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
111,1.1,1.6,1.7,2.1,1.9,1.9,2,1.2,1.7,0.7,2.9,3.3,2.9,3.2,0.8,1.2,3.6,3.3,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,210,105,52
